Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Off-Peak fare factor,Fixed to micro factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
5,0,0,6,1,1,0.23283307,1,-15387.97023,3076.495417,2602,0.691469572,1161,0.308530428,1084,0.288068031,1088,3,0.000797236,8,70,0.018602179,1003,4,0.001062982,3157.555102,12270.41512,40,0,40,389.6943877,445.3650145,11.27795508,11.27795508,14.04011882,14.104464,7.142522898,410.6080817,8.91781711,6.560970176,2.033963254,4.521933531,1054.752209,0.3057746,0,5.714285714,0.036663611,0.40536211,1094.752209,4267.478062,1667,507.2542341,450,146.7573983,40.88824181,3449.443509,1870.213519,1717.938507,0.918578809,1532.748979,7.592532249,0.004953539,6852.406007,92.57789029,197.8112366,2275.193215,4893.27839,54.56663957,0.731871387,29.0664772
5,1.75,2.75,2,1,0.320375672,0,1,-6575.326711,2031.734327,3232,0.858889184,531,0.141110816,400,0.106298166,408,4,0.001062982,12,119,0.031623704,472,8,0.002125963,3157.555102,4092.805552,60,615.0339436,675.0339436,258.1295918,258.1295918,8.523950022,8.523950022,15.65553979,15.95953085,6.635925966,214.7147892,12.21025135,5.501503081,2.020914803,3.037245036,1379.780147,0.3057746,1.507436136,5,1.638431902,0.426912174,2054.81409,4728.528952,625,504.201128,450,347.0184199,45.49797061,4512.409293,632.1493522,524.0823401,0.829048291,1532.748979,14.42637051,0.009412089,6677.307625,118.6975884,197.7546611,2268.83384,4929.26689,55.08783959,0.576004945,29.03030739
5,0,0,3,1,1,0,1,-9274.215355,2737.339028,2674,0.710603242,1089,0.289396758,998,0.265213925,1007,2,0.000531491,11,80,0.021259633,1053,9,0.002391709,3157.555102,6171.660253,55,0,55,282.0504638,282.0504638,6.128758941,6.128758941,9.110231193,9.191491928,3.844542606,275.8607725,5.737038594,5.852001791,2.024176916,3.584414082,1085.350017,0.3057746,0,5,0.054509415,0.405890059,1140.350017,4307.155609,1660,534.451222,450,166.7076499,48.76198761,3549.510054,1054.623781,1605.304164,1.522158132,1532.748979,11.2468151,0.007337676,6136.882814,112.7508379,197.9651758,2282.38488,4853.850777,60.0449913,0.703608949,29.61811214
0,5,0,2,1,0,0,1,-6895.678964,1765.326462,2983,0.792718576,780,0.207281424,323,0.085835769,666,69,0.018336434,378,85,0.02258836,755,303,0.080520861,3157.555102,4097.359366,0,359.2355031,359.2355031,8.353320375,8.488051349,5.612798592,5.97144387,6.605056479,9.921840236,4.8292929,10.66589272,6.443991996,5.776912458,2.060060157,3.163403821,1227.339294,0.3057746,0.573858631,0,0.516885616,0.411444618,1586.574797,4447.934907,729,386.6538513,558.3333333,227.3267673,47.6754748,4013.869347,647.0798874,774.0520072,1.196223252,1532.748979,296.042271,0.193144654,6193.698214,121.2604112,196.3455819,2238.6236,4840.360543,56.95251265,0.548744575,29.37417157
5,0,0,6,1,0,0.412635684,0,-15387.78081,3052.542044,2604,0.692001063,1159,0.307998937,1074,0.285410577,1085,2,0.000531491,14,72,0.01913367,1015,11,0.0029232,3157.555102,12265.22571,35,0,35,223.0396501,240.1965463,11.30435549,11.30435549,14.00162039,14.1561921,7.198357147,234.8804334,8.961041815,6.618407124,2.037225367,4.54460043,1053.405053,0.3057746,0,2.692307692,0.032198712,0.40453343,1088.405053,4269.953458,1671,506.0859059,675,159.0895806,44.85442341,3445.037793,1853.199037,1703.892354,0.919433002,1532.748979,13.29423255,0.008673457,6830.985808,102.8000921,198.0013249,2283.168719,4880.776124,54.10695148,0.726808682,28.99519265
4.75,5,3,2,1,0,1,0,-6062.98488,1587.239376,3419,0.908583577,344,0.091416423,159,0.042253521,171,5,0.001328727,18,168,0.04464523,255,12,0.003188945,3157.555102,4022.427302,47.5,1069.497523,1116.997523,172.780839,182.9444178,17.26859519,17.26859519,32.07928508,34.44877773,12.3529625,162.1468857,23.47930476,7.35655831,2.029070085,3.134702573,1456.02483,0.3057746,6.254371482,2.794117647,6.346576838,0.425862776,2573.022353,4469.712389,205,342.7410624,500,690.1347744,48.88454652,4761.758594,401.4009886,239.0462836,0.595529883,1532.748979,19.18048003,0.012513778,6695.908562,135.1420151,198.2787956,3016.049388,6023.829418,35.50927167,0.565040604,28.04819405
5,0,0,2,1,1,1,1,-7231.023167,2676.239887,2715,0.721498804,1048,0.278501196,968,0.257241563,975,2,0.000531491,9,71,0.018867925,1019,7,0.001860218,3157.555102,4118.468066,45,0,45,345.8394558,345.8394558,4.224069811,4.224069811,7.34860078,7.401251963,2.640360089,401.569138,4.612904559,5.749731689,2.030701142,3.215163137,1100.593658,0.3057746,0,5,0.046059365,0.405375196,1145.593658,4293.954058,1609,524.9920005,450,171.3788168,48.50972619,3599.362597,716.2887398,1559.813028,2.177631647,1532.748979,7.750981854,0.005056915,5848.400315,112.0083488,197.9592703,2281.297048,4850.046766,61.0243218,0.706696097,29.61909754
5,0,3,2,4,1,0.60654652,0,-6563.592211,2064.539909,3268,0.868456019,495,0.131543981,341,0.090619187,348,7,0.001860218,14,140,0.037204358,419,7,0.001860218,3157.555102,4094.271678,55,633.2345681,688.2345681,221.6110787,221.6110787,9.945508935,9.945508935,18.1314702,18.48899214,6.344033178,274.9039246,11.78713323,5.433711859,2.024176916,3.025107702,1376.451026,0.3057746,1.819639564,3.928571429,1.938688924,0.421190644,2064.685594,4696.695095,590,521.8183447,482.1428571,396.5253182,46.15114121,4501.521794,636.95632,545.5578513,0.856507478,1532.748979,11.28596147,0.007363216,6671.227093,123.179706,198.4403852,2304.33725,5041.724394,53.61540002,0.599192569,29.40650011
4.75,5,3,2,1,1,0.836140679,0,-6087.676295,1452.97211,3470,0.922136593,293,0.077863407,109,0.02896625,122,9,0.002391709,23,163,0.043316503,214,12,0.003188945,3157.555102,3979.776852,52.25,997.4056593,1049.655659,135.0132653,147.8716715,24.44566552,24.64769581,41.98397445,46.82827919,21.53993064,116.8979832,36.89008433,11.40209457,2.025971078,3.392762707,1485.200479,0.3057746,8.243021977,2.488095238,8.074274302,0.428011665,2534.856139,4384.728641,96,198.3612007,450,764.6278236,45.45287618,4857.174138,261.5634501,138.45779,0.529346856,1532.748979,26.56423162,0.017331104,6651.486567,127.1959767,201.8220395,3567.599945,6253.040923,23.86456881,0.519229874,27.68845905
5,0,0,3,1,1,0.547207696,1,-9276.281227,2755.324234,2704,0.718575605,1059,0.281424395,970,0.257773053,978,3,0.000797236,11,78,0.020728142,1034,8,0.002125963,3157.555102,6173.726125,55,0,55,282.0504638,282.0504638,6.3126034,6.3126034,9.379455234,9.455944166,3.948059099,299.7046808,5.893110831,5.816603367,2.024176916,3.575851488,1097.288411,0.3057746,0,5,0.05606524,0.405801927,1152.288411,4301.054203,1627,537.2302523,450,173.4847772,49.82868322,3588.553173,1061.397131,1563.737009,1.473281737,1532.748979,10.35204086,0.006753905,6182.699283,116.5040359,197.9548538,2277.921024,4850.593873,59.77097416,0.68370464,29.89702171
