rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num,income (USD),agent_transit_15min_acc
1647,398,148,62896,C,0,164.52427778715452,0.9406725690622595,164.52427778715452,0.9406725690622595,0,0,0,0,0,0,0,0,0.2876337785359847,0,0.11102547166606769,0.0009807242022208586,"[0.9841368689479205, 0.01586313105207946]",0.36926180526759056,91505,20748.60238
1648,395,120,62901,C,0,109.85866317057345,0.6693365359816709,109.85866317057345,0.6693365359816709,0,0,0,0,0,0,0,0,0.204666111555181,0,1.1924906895780536,0.1372620563560131,"[0.8558329138336391, 0.1441670861663608]",0.8820428334720952,73938,44060.58571
1649,577,372,62915,T,0,389.84371278464596,0.5396142015867827,0,0,117.98943957990599,0.46821244945290813,0,0,91.85427320473997,0.07140175213387459,180.0,0,1.926821018785128,0.0,0.0,0.0,"[0.5897081614945678, 0.4102918385054322]",0.008272889170551356,253168,47099.9
1650,329,74,62920,C,0,118.67764685054779,0.947471484133446,118.67764685054779,0.947471484133446,0,0,0,0,0,0,0,0,0.2897127140723108,0,0.0,0.0,"[0.9984591415219105, 0.0015408584780894881]",0.6516998154088854,25918,44385.34444
1651,178,523,62925,T,0,1195.3436655705855,0.9291852098554703,0,0,0,0,0,0,1195.3436655705855,0.9291852098554703,0,0,0,0,0.0,0.0,"[0.3497444961827767, 0.6502555038172232]",0.17791165591567548,9696,38963.80238
1652,489,198,62939,C,0,132.2999314782141,1.0035312648021624,132.2999314782141,1.0035312648021624,0,0,0,0,0,0,0,0,0.3068543710823752,0,0.0,0.0,"[0.9414217883930992, 0.05857821160690079]",0.7236497015209209,52946,44270.48095
1653,331,522,63022,T,0,739.225599562047,0.5746276268856306,0,0,0,0,0,0,739.225599562047,0.5746276268856306,0,0,0,0,0.0,0.0,"[0.7817372592747113, 0.21826274072528876]",0.025602567681837662,18628,34986.62381
1654,216,614,63048,C,0,227.85924272904305,2.5044636009097108,227.85924272904305,2.5044636009097108,0,0,0,0,0,0,0,0,0.7658013557827262,0,0.0,0.0,"[0.9954236682073243, 0.004576331792675691]",0.9492011661505255,40151,41146.22778
1655,342,565,63057,C,0,97.24203707626357,0.8038293585562579,97.24203707626357,0.8038293585562579,0,0,0,0,0,0,0,0,0.24579060058079638,0,0.9868062833199125,0.05187032855707197,"[0.9215972811595992, 0.07840271884040084]",0.9939748018203534,72577,34986.62381
1656,524,480,63081,T,0,702.4492942435411,0.546040033242615,0,0,0,0,0,0,702.4492942435411,0.546040033242615,0,0,0,0,0.0,0.0,"[0.5737309205237647, 0.4262690794762352]",0.1044507824912575,7219,42685.0
