rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num,income (USD),agent_transit_15min_acc
7146,74,194,48913,T,0,482.617252225446,0.43792389557600625,0,0,101.01499672187055,0.43792389557600625,0,0,0,0,381.60225550357546,0,0.3284429216820047,239.05011523210396,1.1089607535937387,0.17890198228575027,"[0.7555095332894399, 0.24449046671056018]",0.0313506472586238,44440,3000.775397
8697,7,583,54221,C,0,261.96311564272,2.102423684041169,261.96311564272,2.102423684041169,0,0,0,0,0,0,0,0,0.6428677610182149,0,6.815727734470526,0.05640324214234274,"[0.9214498167033205, 0.07855018329667952]",0.5527592447164618,30786,1020.0
2331,167,165,29827,C,0,22.670899167388963,0.1259495440910557,22.670899167388963,0.1259495440910557,0,0,0,0,0,0,0,0,0.03851217146462491,0,0.0,0.0,"[0.7703969807850181, 0.22960301921498202]",0.9308321784104977,151127,3114.183333
7546,871,205,50387,C,0,256.2000119325783,2.054966542781929,256.2000119325783,2.054966542781929,0,0,0,0,0,0,0,0,0.628356572632527,0,3.3922603951931714,0.4408228460794712,"[0.7337722328417542, 0.2662277671582458]",0.9854578134769056,85568,1020.0
14176,30,203,73699,C,0,109.31392037814169,0.607300060433315,109.31392037814169,0.607300060433315,0,0,0,0,0,0,0,0,0.1856969330589727,0,0.0,0.0,"[0.9362916600354317, 0.06370833996456836]",0.9230658953681611,20266,2785.802381
4211,80,676,36276,T,1,254.58237445215573,2.1283695237689697,0,0,0,0.30196763697150714,0,1.363909345,82.84511235941204,0.06439859542522057,180.0,450.0,0.6508013397826472,46.67802739605122,1.5211497549307715,0.2641736064244003,"[0.7213281833388945, 0.27867181666110563]",0.3317429544995639,39352,176.13690480000002
10476,1078,1079,58837,C,0,9.87394912947419,0.05485531835563184,9.87394912947419,0.05485531835563184,0,0,0,0,0,0,0,0,0.016773363028065983,0,0.1880772472665757,0.1880333648054385,"[0.6282577192081368, 0.3717422807918633]",0.7370515609184394,88747,3221.52619
11331,675,310,61590,T,1,211.6101767708423,1.8274178702579655,0,0,0,1.8274178702579658,0,0,0,0,180.0,0,0.5587779683109814,903.2237593365235,10.97274492999077,0.27512088832093146,"[0.8411559311819234, 0.15884406881807658]",0.925969264107557,146238,2141.146032
10662,687,149,59439,C,0,263.1223447874357,2.4244696388805846,263.1223447874357,2.4244696388805846,0,0,0,0,0,0,0,0,0.7413412340408555,0,0.0,0.0,"[0.7807896247892037, 0.21921037521079637]",0.32663562111450517,64536,2951.459524
14948,645,741,82609,C,0,75.31346084526811,0.41840846220276184,75.31346084526811,0.41840846220276184,0,0,0,0,0,0,0,0,0.12793868016666463,0,0.0,0.0,"[0.9051208980528367, 0.09487910194716331]",0.29849883671272825,11087,350.0297619
8365,509,647,53150,T,0,373.9281659621385,2.149965490684272,0,0,0,0.6372969470775702,0,2.1294384170000002,0,0,360.0,450.0,0.6574048379277867,201.55705788867363,1.0474000229081541,0.2037551586238039,"[0.7102990999783343, 0.2897009000216657]",0.339127041187268,45466,2320.2912699999997
11339,109,1020,61626,C,0,98.82503092139227,0.8965202725875415,98.82503092139227,0.8965202725875415,0,0,0,0,0,0,0,0,0.2741331277423465,0,0.766562368905896,0.050541237475275454,"[0.9562021296844105, 0.04379787031558935]",0.13817476716729027,51268,1020.0
11532,660,678,62254,T,1,51.19825107257665,0.3941035486335247,0,0,0,0.3761134913796615,0,0,23.143180448387053,0.017990057253863198,180.0,0,0.12050685494199656,-198.5022651963921,0.8135403047956742,0.22333012250205353,"[0.7792339159007144, 0.2207660840992856]",0.9790009780231679,116044,497.89285710000007
11576,817,487,62400,C,0,253.6865607037155,1.5942523676804683,253.6865607037155,1.5942523676804683,0,0,0,0,0,0,0,0,0.48748188002654813,0,17.34146542743594,0.35204570882249264,"[0.7387021157445177, 0.2612978842554823]",0.2626163493213082,83530,58.48073593
2937,266,820,31154,C,0,209.5497401384118,1.5696484707716196,209.5497401384118,1.5696484707716196,0,0,0,0,0,0,0,0,0.4799586332908036,0,5.812090477263835,0.3530036921686847,"[0.8528480819929626, 0.14715191800703753]",0.274387549504984,161609,1020.0
12420,466,1021,65013,C,0,197.7942679286342,1.3131874627188764,197.7942679286342,1.3131874627188764,0,0,0,0,0,0,0,0,0.40153937113787935,0,2.413889787072704,0.02319046137963865,"[0.83640368607322, 0.16359631392678006]",0.9770835524890504,5816,1020.0
6414,821,737,46135,C,0,57.747500147719606,0.41639804156946786,57.747500147719606,0.41639804156946786,0,0,0,0,0,0,0,0,0.12732394460168736,0,0.2553756465681598,0.05911973582911717,"[0.654354262972638, 0.345645737027362]",0.6587662219402686,45009,1020.0
1292,760,753,27378,T,0,1623.72283546226,1.2621803143917927,0,0,0,0,0,0,1623.72283546226,1.262180314391793,0,0,0,0,0.0,0.0,"[0.6698387573510879, 0.3301612426489121]",0.17239035771891498,2416,1020.0
4461,886,893,37301,T,0,42.35267067310783,0.03292231039560186,0,0,0,0,0,0,42.35267067310783,0.03292231039560186,0,0,0,0,0.0,0.0,"[0.5838410357934327, 0.41615896420656723]",0.08642407187624601,23180,1020.0
5283,384,831,41233,T,1,775.4381671476496,1.626280580689234,0,0,393.8359116440741,1.626280580689234,0,0,0,0,381.60225550357546,0,1.2197104355169255,891.0211432176476,3.6362908146391204,1.3029666055299354,"[0.7144863068111309, 0.28551369318886904]",0.07790042801691799,107944,562.4761905
13608,528,841,69541,C,0,201.8086601468869,1.4009434425306313,201.8086601468869,1.4009434425306313,0,0,0,0,0,0,0,0,0.4283729207624267,0,5.214876261199422,0.45450645032024933,"[0.8193937166737926, 0.1806062833262074]",0.8041536640722073,75776,481.36349210000003
11208,831,311,61218,C,0,208.5189721587884,1.727120602700973,208.5189721587884,1.727120602700973,0,0,0,0,0,0,0,0,0.5281096114426489,0,3.7925171283650743,0.08160223128656419,"[0.8490411561261655, 0.15095884387383446]",0.15957901550860898,21100,1020.0
5282,500,387,41232,C,0,404.8465581957597,2.4629616118901327,404.8465581957597,2.4629616118901327,0,0,0,0,0,0,0,0,0.7531111016910607,0,0.0,0.0,"[0.46654040470114694, 0.5334595952988529]",0.7827538947703382,9474,295.7816578
13368,976,658,68142,C,0,183.60343372492247,1.2688390049011373,183.60343372492247,1.2688390049011373,0,0,0,0,0,0,0,0,0.38797873918804326,0,2.833048480702086,1.0681211146403955,"[0.5829341043073617, 0.41706589569263824]",0.4208102253222339,220334,155.13818799999999
988,1006,858,26521,C,0,127.05088463063743,0.8964161187770776,127.05088463063743,0.8964161187770776,0,0,0,0,0,0,0,0,0.27410128015261337,0,6.127914703638383,0.6684898126202189,"[0.6626515212262879, 0.33734847877371205]",0.8737059178915484,51940,1020.0
4076,97,74,35536,C,0,75.19174698117662,0.6388325835971252,75.19174698117662,0.6388325835971252,0,0,0,0,0,0,0,0,0.19533877771637753,0,0.1941857801173723,0.0325541405601982,"[0.8135312680052795, 0.18646873199472044]",0.608008298633929,71503,1020.0
9955,433,398,57320,C,0,386.2454547379632,2.5883814413519954,386.2454547379632,2.5883814413519954,0,0,0,0,0,0,0,0,0.7914612998768303,0,4.430393231761906,2.6441249990877314,"[0.8968364632548361, 0.10316353674516379]",0.4212783774058687,110141,58.48073593
8163,654,159,52463,T,1,766.5207922447836,1.5237748911533051,0,0,341.4481833376312,1.489983764288954,0,0,43.47035340357695,0.03379112686435116,381.60225550357546,0,1.1174878232167156,122.90999822710137,2.487209223835569,0.6662722778921387,"[0.7589552986986691, 0.2410447013013309]",0.15904619252292385,65668,551.4773809999999
734,288,224,25785,T,1,18.222695630849334,0.15500191606757985,0,0,0,0.15500191606757985,0,0,0,0,180.0,0,0.0473956488847978,-356.93348461052574,0.5434031550395864,0.03861088175036515,"[0.8138164036882921, 0.18618359631170783]",0.9237518639799774,28672,2669.5488100000002
13714,764,267,70278,T,1,310.9410859285791,2.2978022721704083,0,0,0,0.43344292400435913,0,1.98217349,0,0,360.0,450.0,0.7026095706519977,-16.609995856271098,2.047281874774257,0.5629185954992432,"[0.63005827258083, 0.36994172741917003]",0.7662851745367306,105336,1124.085714
6995,80,728,48357,T,0,877.6824002147223,1.4508207768708399,0,0,0,0,148.01057220000007,1.233421435,279.6718280147222,0.21739934187083992,0,450.0,0.0,0,0.0,0.0,"[0.5487529789283566, 0.45124702107164333]",0.07541581424874066,58444,1317.310714
2321,449,32,29815,T,0,129.56084815386305,1.0779974554754237,0,0,0,0.17517798727759826,0,0.523815753,86.17358146498736,0.06698593859140958,360.0,450.0,0.32962424074901553,0.0,0.0,0.0,"[0.8538430828619644, 0.1461569171380356]",0.8129090662166406,9406,3554.5059520000004
5730,847,842,43263,T,0,67.04889387035867,0.052119605696632584,0,0,0,0,0,0,67.04889387035867,0.052119605696632584,0,0,0,0,0.0,0.0,"[0.5798513240037663, 0.42014867599623384]",0.4053489565457754,51456,1020.0
11620,378,817,62546,T,1,1049.8658412887337,2.022844807310752,0,0,441.9209833151813,1.9970760299207801,0,0,33.15005931636837,0.02576877738997156,574.7947986571841,0,1.4978070224405857,1066.4006988813185,4.945835206756772,2.1029739490412176,"[0.7431117782395518, 0.2568882217604481]",0.1124250112811177,63925,191.41071430000002
12992,204,714,66809,C,0,181.99444506136783,1.7065834626921992,181.99444506136783,1.7065834626921992,0,0,0,0,0,0,0,0,0.5218298756713221,0,3.3990037226717447,0.1833391541463219,"[0.8289632123703531, 0.17103678762964686]",0.7733542182403604,199148,1020.0
2373,423,587,29904,T,0,1420.3247034929573,1.104071360973871,0,0,0,0,0,0,1420.3247034929573,1.104071360973871,0,0,0,0,0.0,0.0,"[0.24055752376211215, 0.7594424762378879]",0.06724407615962325,12025,2528.902778
8636,657,367,54055,T,1,102.50353844174863,0.930736766101584,0,0,0,0.9307367661015841,0,0,0,0,180.0,0,0.2845956623600054,889.0476122201162,2.797714301150598,0.5286454392581554,"[0.8025488584732565, 0.19745114152674342]",0.7467558604750223,53582,1055.682143
7457,374,310,50063,T,1,149.78495514042532,1.0624991138444166,0,0,0,1.0624991138444166,0,0,0,0,180.0,0,0.3248852415361311,413.3692199302708,3.678668901408555,0.4081965295653714,"[0.7471246992358445, 0.2528753007641556]",0.4822772763237845,84804,2598.174603
8724,560,687,54293,T,0,59.51620998542955,0.4961011899513741,0,0,0,0.5412543486411617,0,0,78.08962911235486,0.06070198094843598,180.0,0,0.15169514291690545,-98.985400306408,0.2451140825552538,0.026509578627259812,"[0.87755589259006, 0.12244410740994004]",0.6864456439686262,49879,917.5786436000001
2145,142,643,29424,T,0,1298.6060688013633,1.6895651950015942,0,0,0,0,136.3039425600001,1.1358661879999998,712.3021262413633,0.5536990070015941,0,449.99999999999994,0.0,0,0.0,0.0,"[0.7506561138478958, 0.24934388615210426]",0.10000761363339372,14153,3774.5595240000002
10541,251,224,59029,T,1,16.20393763880464,0.09002195029930928,0,0,0,0.09002195029930929,0,0,0,0,180.0,0,0.027526425843991176,0.0,0.0,0.0,"[0.6768029869389207, 0.3231970130610793]",0.7643453585041231,76933,2669.5488100000002
604,1051,12,25448,C,0,16.474346323652995,0.23520082055786173,16.474346323652995,0.23520082055786173,0,0,0,0,0,0,0,0,0.07191843682575194,0,1.9571820841254732,0.9455704917106905,"[0.6382866481698336, 0.3617133518301664]",0.857701400365392,84836,1020.0
12938,816,415,66605,C,0,214.6574078554324,1.6158566573491446,214.6574078554324,1.6158566573491446,0,0,0,0,0,0,0,0,0.49408792305827176,0,3.0431713938769858,0.12839802490237176,"[0.7992912570694084, 0.2007087429305915]",0.605279335264414,109813,2141.146032
3983,581,333,35057,C,0,230.0847178462987,1.7712802963605057,230.0847178462987,1.7712802963605057,0,0,0,0,0,0,0,0,0.5416125241075151,0,4.201623646279668,0.05405186073466049,"[0.9413768755725036, 0.058623124427496384]",0.6352840837515626,42431,318.4925595
