rq_id,origin,dest,dp_time,mode,switch_mode,tt (s),dist (mi),tt_C (s),dist_C (mi),tt_M (s),dist_M (mi),tt_F (s),dist_F (mi),tt_W (s),dist_W (mi),agent_M_tot_wait_time (s),agent_F_tot_wait_time (s),out_of_pock_cost ($),tt_saved_with_micro (s),gen_cost_saved_with_micro,mob_logsum_increased_with_micro,"agent_prob (auto,transit)",agent_ran_num
74,872,602,27589,C,0,181.13911257141243,1.3309475191527542,181.13911257141243,1.3309475191527542,0,0,0,0,0,0,0,0,0.40696994528992575,0,0,0,"[0.9970655334543849, 0.002934466545615227]",0.5001123055945921
75,825,999,27649,C,0,60.376867021085985,0.33542731670258175,60.376867021085985,0.33542731670258175,0,0,0,0,0,0,0,0,0.10256515359380526,0,0,0,"[0.9326635654953765, 0.06733643450462343]",0.49367915408668595
76,365,405,27666,C,0,171.60795675088664,1.1362349402295284,171.60795675088664,1.1362349402295284,0,0,0,0,0,0,0,0,0.34743178435470795,0,0,0,"[0.999918775614743, 8.122438525703402e-05]",0.023281892221996836
77,283,706,27668,C,0,406.46269461878455,2.855785143133155,406.46269461878455,2.855785143133155,0,0,0,0,0,0,0,0,0.8732265598274834,0,0,0,"[0.9998835623875283, 0.00011643761247168351]",0.48628885308350744
78,533,142,27706,C,0,188.54482769366192,1.2772065592054263,188.54482769366192,1.2772065592054263,0,0,0,0,0,0,0,0,0.3905373247584155,0,0,0,"[0.9534442876753569, 0.04655571232464317]",0.750150498287677
79,198,672,27740,C,0,203.11493310202735,1.4739311738435605,203.11493310202735,1.4739311738435605,0,0,0,0,0,0,0,0,0.45069071510954517,0,0,0,"[0.9988999102178632, 0.0011000897821367584]",0.8762643053091299
80,1087,448,27776,C,0,235.55871709437875,1.6434533907031448,235.55871709437875,1.6434533907031448,0,0,0,0,0,0,0,0,0.5025263031608979,0,0,0,"[0.9861659779988293, 0.013834022001170674]",0.4351634292835186
81,113,417,27802,C,0,192.27304228289012,1.492867931226956,192.27304228289012,1.492867931226956,0,0,0,0,0,0,0,0,0.45648109452375,0,0,0,"[0.9999486582050102, 5.134179498986486e-05]",0.10119248732195019
82,207,270,27805,T,0,572.7915300073618,0.4452522177036608,0,0,0,0,0,0,572.7915300073618,0.44525221770366086,0,0,0,0,0,0,"[0.5326446428725878, 0.4673553571274121]",0.37012925394806717
83,32,194,27862,C,0,64.1386696290706,0.47916410045140595,64.1386696290706,0.47916410045140595,0,0,0,0,0,0,0,0,0.14651621114988847,0,0,0,"[0.9891564776370197, 0.010843522362980178]",0.25532195102123667
