trial_index,arm_name,trial_status,generation_method,is_feasible,Total mob. Logsum increase with micro,Total subsidy ($),Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Off-Peak fare factor,Fixed to micro factor,Micro to fixed factor
9,9_1,RUNNING,BoTorch,True,3070.400242423692,-15385.667199813317,5.0,0.0,0.0,6,1.0,0.0,0.0,1.0
10,10_0,RUNNING,BoTorch,True,2040.22493427166,-6593.687539658156,3.5,1.2000000000000002,0.0,2,1.0,0.800679228833345,1.0,0.5637416984492162
10,10_1,RUNNING,BoTorch,True,1836.532718098152,-6446.174195254327,2.4000000000000004,0.4,2.0,2,4.0,0.8414860926320888,0.738622840803714,0.6106571986849592
11,11_0,RUNNING,BoTorch,True,2751.3350275125445,-9274.966090585713,5.0,0.0,0.0,3,1.0,0.0,0.3916974127029728,0.0
11,11_1,RUNNING,BoTorch,True,1690.1821710332752,-6113.982073755727,2.3000000000000003,2.8000000000000003,3.0,2,1.0,0.4088626713504218,1.0,0.45979735731092264
12,12_0,RUNNING,BoTorch,True,3259.0233179716197,-17394.771339614294,5.0,0.0,0.0,7,1.0,0.0,0.0,0.5397592244882135
12,12_1,RUNNING,BoTorch,True,1598.5476051741127,-6131.498495629686,1.7000000000000002,3.8000000000000003,3.0,2,1.0,0.0,1.0,0.6065667917939426
13,13_0,RUNNING,BoTorch,True,1553.7905340223786,-6081.938823747969,1.9000000000000001,2.6,3.0,2,1.0,0.6379251377172744,1.0,0.0
13,13_1,RUNNING,BoTorch,True,2854.881065130432,-11337.996921059934,5.0,0.0,1.6,4,1.0,0.0,0.0,0.0
14,14_0,RUNNING,BoTorch,True,1556.8664328691525,-6133.467679707538,1.3,2.4000000000000004,3.0,2,1.0,0.6454688128357727,1.0,1.0
14,14_1,RUNNING,BoTorch,True,1523.453716287048,-6205.263484516236,0.0,1.2000000000000002,3.0,2,4.0,0.8097833957461673,1.0,0.0
15,15_0,RUNNING,BoTorch,True,3131.063163299933,-15392.19129360788,5.0,0.0,0.0,6,1.0,0.46814050482381775,0.28347485426087443,0.0
15,15_1,RUNNING,BoTorch,True,1846.2323632569698,-6354.343414320454,3.4000000000000004,3.8000000000000003,0.0,2,1.0,0.46766580015837816,1.0,0.0
