trial_index,arm_name,trial_status,generation_method,is_feasible,Total mob. Logsum increase with micro,Total subsidy ($),Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor
17,17_0,RUNNING,BoTorch,True,1484.6687413967236,-6092.274875450379,5.0,4.2086226109727,3.0,2,1.00000000001149,7.497831702412203e-12
17,17_1,RUNNING,BoTorch,True,3005.6373615779735,-17113.934405215517,4.999999999765383,2.818674729584986e-09,0.4999999999476987,7,3.999999999999958,0.9999999999999972
18,18_0,RUNNING,BoTorch,True,1878.0750796703685,-6585.058652801831,5.0,0.12298117050577984,2.9999999999856817,2,4.0,1.3098519037584306e-12
18,18_1,RUNNING,BoTorch,True,3152.0554407293366,-16773.43481005274,4.999999962148324,0.12066421435112823,0.4900910572930476,7,3.0353461205812278,2.9792317063012295e-09
19,19_0,RUNNING,BoTorch,True,2858.94405713425,-14676.713479255108,4.999999999985777,0.13962782970479673,0.9360741693142998,6,2.636937550419809,1.274526380307903e-10
19,19_1,RUNNING,BoTorch,True,1486.4444596385244,-6094.860400395271,4.999996839228805,2.1165619903103488,2.5613318444467685,2,4.0,1.2165103767868528e-06
20,20_0,RUNNING,BoTorch,True,1878.5172670970817,-6633.378024470161,5.0,0.0,3.0,2,1.0,1.035224908255351e-07
20,20_1,RUNNING,BoTorch,True,2507.508565072307,-10564.688028915702,4.999999999927548,2.1442463334040247e-09,3.0,4,1.0000000000377476,0.0
21,21_0,RUNNING,BoTorch,True,3181.7969624022776,-16704.915637281025,4.999999999999782,0.16944326108614738,0.3305567389152654,7,3.5111194972247803,5.131235914853261e-15
21,21_1,RUNNING,BoTorch,True,1230.484892937808,-6132.818113028719,5.0,4.406704632835274,2.9999999999965428,2,2.774499776002367,0.0
22,22_0,RUNNING,BoTorch,True,1617.1573307029882,-6243.344780010359,4.999801204959601,1.576801903329788,2.9997769430967383,2,3.4771276504487965,1.0
22,22_1,RUNNING,BoTorch,True,1816.7709515067113,-6296.029251672664,4.999996132651668,2.279046670768984,2.9999999312385563,2,1.0,0.0
23,23_0,RUNNING,BoTorch,True,2655.102803964452,-12477.86348428038,4.999999998225427,0.0,2.9999999899238445,5,1.0,0.0
23,23_1,RUNNING,BoTorch,True,3062.926423929939,-16667.173724860855,4.999999999997192,0.18883110327846764,0.3111688967099014,7,3.4475963464440333,0.09977398242700519
24,24_0,RUNNING,BoTorch,True,1950.788608376979,-6666.732218623652,5.0,6.517476438591652e-11,2.9999999989638937,2,3.5066294521723624,0.9999999997730863
24,24_1,RUNNING,BoTorch,True,3045.9057345049105,-16751.376573510497,5.0,0.14540332750259805,0.35459667058298083,7,3.660617430528613,3.0930606293829833e-16
25,25_0,RUNNING,BoTorch,True,1792.7855399780838,-6443.94629992234,5.0,0.3864768038410063,3.0,2,3.840327593694296,0.0
25,25_1,RUNNING,BoTorch,True,2937.644339583657,-16937.97763406594,5.0,0.07977242745059154,0.4455601286570997,7,2.4783297926934917,3.1375582847730174e-16
