from_node,to_node,distance (meters),travel_time,link_type,route,rdrs_AM,rdrs_MD,rdrs_PM,rdrs_EV,tt_rdrs
1114,1148,241.9993236,18.04461384,1,936,12.0,13.0,13.0,1.0,39.0
1148,1114,241.9993236,18.04461384,1,936,19.0,31.0,29.0,0.0,79.0
1148,1147,325.9990889,24.30803352,1,936,24.0,30.0,25.0,5.0,84.0
1147,1148,325.9990889,24.30803352,1,936,28.0,51.0,48.0,5.0,132.0
1147,1139,295.9991727,22.07109792,1,936,35.0,44.0,45.0,5.0,129.0
1139,1147,295.9991727,22.07109792,1,936,48.0,71.0,76.0,9.0,204.0
1139,1166,250.9992985,18.71569452,1,936,39.0,51.0,46.0,5.0,141.0
1166,1139,250.9992985,18.71569452,1,936,60.0,80.0,111.0,9.0,260.0
1166,1138,205.9994243,15.36029112,1,936,48.0,65.0,47.0,5.0,165.0
1138,1166,205.9994243,15.36029112,1,936,61.0,79.0,112.0,9.0,261.0
1138,1140,226.9993656,16.92614604,1,936,55.0,73.0,59.0,5.0,192.0
1140,1138,226.9993656,16.92614604,1,936,67.0,91.0,126.0,13.0,297.0
1140,1141,283.9992063,21.17632368,1,936,56.0,79.0,62.0,5.0,202.0
1141,1140,283.9992063,21.17632368,1,936,66.0,91.0,128.0,13.0,298.0
1141,1119,147.9995864,11.03554896,1,936,56.0,76.0,62.0,5.0,199.0
1119,1141,147.9995864,11.03554896,1,936,66.0,99.0,130.0,13.0,308.0
1110,1127,337.9990553,25.20280776,1,936,34.0,52.0,68.0,13.0,167.0
1127,1110,337.9990553,25.20280776,1,936,56.0,56.0,45.0,9.0,166.0
1127,1132,333.9990665,24.90454968,1,936,30.0,52.0,75.0,9.0,166.0
1132,1127,333.9990665,24.90454968,1,936,51.0,50.0,47.0,9.0,157.0
1132,1126,170.9995221,12.75053292,1,936,40.0,62.0,83.0,5.0,190.0
1126,1132,170.9995221,12.75053292,1,936,54.0,47.0,49.0,9.0,159.0
1126,1133,210.9994103,15.73311372,1,936,38.0,53.0,77.0,4.0,172.0
1133,1126,210.9994103,15.73311372,1,936,46.0,43.0,43.0,9.0,141.0
1133,1134,357.9989994,26.69409816,1,936,32.0,38.0,69.0,0.0,139.0
1134,1133,357.9989994,26.69409816,1,936,33.0,29.0,31.0,5.0,98.0
1134,1128,197.9994466,14.76377496,1,936,17.0,25.0,48.0,0.0,90.0
1128,1134,197.9994466,14.76377496,1,936,22.0,18.0,21.0,5.0,66.0
1128,1129,116.999673,8.72404884,1,936,16.0,22.0,42.0,0.0,80.0
1129,1128,116.999673,8.72404884,1,936,22.0,17.0,19.0,1.0,59.0
1129,1167,125.9996478,9.39512952,1,936,2.0,6.0,21.0,0.0,29.0
1167,1129,125.9996478,9.39512952,1,936,2.0,2.0,3.0,0.0,7.0
1164,1162,1485.995847,110.8028767,1,520,2.0,6.0,5.0,0.0,13.0
1162,1164,1485.995847,110.8028767,1,520,4.0,8.0,6.0,0.0,18.0
1163,1165,1489.995836,111.1011348,1,520,0.0,0.0,0.0,0.0,0.0
1165,1163,1489.995836,111.1011348,1,520,0.0,0.0,0.0,0.0,0.0
