Total mob. Logsum increase with micro,Total subsidy ($),trial_index,arm_name,Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,trial_status,generation_method
1669.978373387226,-6184.372283752136,17,17_0,3.7013268118387077,2.180437813302224,2.669378813951841,2,1.7753489297599079,0.4259984097554422,RUNNING,BoTorch
1485.2847358999954,-6102.061526589578,18,18_1,2.8568495312253024,4.525230856399782,4.38174073654519e-15,2,1.8472800972471939,0.4116884936178003,RUNNING,BoTorch
1745.901086404322,-6225.908004327003,18,18_0,4.276206224573167,1.2381075065798224,2.5622961565051456,2,2.2922787213161033,0.4095185418173035,RUNNING,BoTorch
2304.0293292294386,-9076.344781360991,19,19_1,2.1022762972121383,0.0,0.4999996714822157,3,3.6337414616823875,0.05521477158306333,RUNNING,BoTorch
1406.6175701533946,-6100.091333365594,19,19_0,1.5113586682397921,4.695847372529051,0.0,2,2.0724417906368204,0.13906091827110742,RUNNING,BoTorch
1451.8299886985576,-6180.8646610273445,20,20_0,3.0557509743736126,5.0,0.29439158219651185,2,1.8335876952912287,0.026236014340787144,RUNNING,BoTorch
2315.4701922289823,-9082.217984743094,20,20_1,2.057578267370778,2.7996109737316834e-13,0.49999999999994593,3,3.6714275063834867,0.05665529951259785,RUNNING,BoTorch
1651.38162600355,-6363.07630452645,21,21_1,1.6393120893547053,1.2923142352251245,0.9311156454626692,2,3.0678582099624947,3.4880539223837337e-11,RUNNING,BoTorch
1756.4580210121392,-6372.210749196706,21,21_0,1.6433744798973406,1.140695104734337,0.9854077198170547,2,3.083278978959982,0.0,RUNNING,BoTorch
1843.177189489429,-6552.090674403046,22,22_0,2.016657152611298,0.5927457506532464,1.1868022358018326,2,2.9078983336150523,0.13148205484385309,RUNNING,BoTorch
1813.0259275536494,-6486.400077835811,22,22_1,2.0773992746312357,0.8644714682299608,1.2981647180290146,2,2.877035599759272,0.15443230538934175,RUNNING,BoTorch
1593.172479006419,-6117.922628429293,23,23_0,3.9865760366258858,2.21992864975686,1.9100993644204551,2,2.0593349793847,0.3146631856133792,RUNNING,BoTorch
2270.73628697812,-7012.229475783403,23,23_1,4.0976531020065465,0.0,0.5000000000010276,2,2.823418463274872,2.994548156063177e-13,RUNNING,BoTorch
1614.6634890246462,-6201.660454639001,24,24_1,1.7769735732711962,2.8460902944747772,1.8898717290640937e-13,2,2.390953572408489,0.1517581397184059,RUNNING,BoTorch
1629.160111797928,-6188.112374560931,24,24_0,4.364112099842543,1.9067164006705375,2.2586585367583663,2,2.012125366287323,0.5149752430622964,RUNNING,BoTorch
2961.71347361699,-16961.31762764024,25,25_0,4.144094565937174,2.4184711017029406e-11,0.877117842336173,7,3.357984713795099,0.16991316540778023,RUNNING,BoTorch
1941.7035821307159,-6639.7645473490165,25,25_1,4.130932031025653,0.0,2.8902416276061804,2,1.691858447773073,0.09693208371587873,RUNNING,BoTorch
1550.1579821198115,-6150.527797982059,26,26_1,2.1164270708674824,2.907205436305722,0.6457973822501331,2,2.1762052225161015,0.15118144814794202,RUNNING,BoTorch
2949.5946395598357,-17020.62839069003,26,26_0,3.4177612086837206,2.1502644009752535e-11,0.7270869561322686,7,3.226215806680891,0.10244409801809265,RUNNING,BoTorch
2757.5910388241987,-14997.385277536203,27,27_1,4.109852044984258,0.0,0.8009641811997219,6,3.4057504630919144,0.058456186070623625,RUNNING,BoTorch
1732.7791659004854,-6293.909479225928,27,27_0,3.3283640887197325,3.2038030848482206,0.05118936004392491,2,1.0,0.4385879797307951,RUNNING,BoTorch
1710.7305356491015,-6483.007782736999,28,28_1,1.0,0.3891727470372297,2.2839483597858106,2,3.324013136414961,0.0,RUNNING,BoTorch
2973.4043910754367,-17059.60589099852,28,28_0,3.8316869899349872,2.2743571838286372e-11,0.6022661783588921,7,3.217216811958876,0.16713575069177608,RUNNING,BoTorch
1354.9260505833477,-6038.7651416231765,29,29_1,1.7579384937226175,4.3624002123928305,0.0,2,2.61153792453718,0.0,RUNNING,BoTorch
1245.1086204843823,-5962.985789629316,29,29_0,2.001873034181334,4.889107733850182,0.0,2,2.7360318547577087,0.0,RUNNING,BoTorch
3047.0818978319294,-16955.48449559957,30,30_0,4.150770079537574,5.732916614298192e-13,0.906112464318295,7,3.297959900383593,0.06806868889868103,RUNNING,BoTorch
1219.042761837464,-5984.996669819174,30,30_1,3.1085024331805866,5.0,0.0,2,2.5775942659785853,0.22011077490996134,RUNNING,BoTorch
