Iteration,Transit Fare ($),Micro distance based fare ($/mile),Micro start fare ($),Fleet size,Peak fare factor,Micro to fixed factor,Total subsidy ($),Total mob. Logsum increase with micro,car_users,car_mode_share (%),trsit_mode_users (W_M_F),transit_mode_share (%),pure_M_users,M_mode_share (%),M_trips,pure_F_users,F_mode_share (%),F_trips,pure_walk_users,W_mode_share (%),walk_users,M_pls_F_users,M_pls_F_mode_share (%),F_oper_cost ($),M_oper_cost ($),F_revenue ($),M_revenue ($),Total_T_revenue ($),sub_per_F_trip ($),sub_per_F_rider ($),sub_per_M_trip ($),sub_per_M_rider ($),sub_per_T_trip ($),sub_per_T_rider ($),sub_per_M_pax_mile ($/mi),sub_per_F_pax_mile ($/mi),sub_per_T_pax_mile ($/mi),sub_per_M_VMT ($/mi),sub_per_F_VMT ($/mi),sub_per_T_VMT ($/mi),tt_auto_gas_cost ($),auto_gas_cost_per_mile ($/mi),avg_M_fare,avg_F_fare,avg_T_fare,avg_auto_gas_cost,tt_o_pckt_cost ($),tt_gen_cost,tt_mode_switch,M_avg_wait_time (s),F_avg_wait_time (s),avg_walk_time (s),tt_walk_time (h),car_VMT (mi),M_VMT (mi),M_PMT (mi),M_PMT/M_VMT,F_VMT (mi),F_PMT (mi),F_PMT/F_VMT,tt_VMT (mi),tt_walk_dist (mi),wghted_acc_emp_5_min,wghted_acc_emp_10_min,wghted_acc_emp_15_min,M_util_rate (%),M_veh_occ,M_avg_speed (mph)
3,2.379177803,2.928905437,0.599446782,2,2.579558624,0.295227074,-6106.103652,1544.101392,3394,0.901939942,369,0.098060058,158,0.041987776,212,17,0.004517672,56,156,0.041456285,256,38,0.010098326,3157.555102,4010.23807,106.9256333,954.7638868,1061.68952,54.47552622,55.46599034,14.41261407,15.589154,22.78396885,28.6671533,17.26696051,44.04810557,24.80021506,8.453700455,1.990299462,3.223604222,1458.54368,0.3057746,4.87124432,1.944102423,4.98445784,0.429741803,2520.2332,4536.432776,198,292.7047616,482.1428571,665.2471058,47.30646086,4769.996199,361.4362965,176.9549529,0.48958822,1532.748979,69.25676892,0.045184678,6664.181474,130.977762,198.1062174,3195.718757,6073.312189,34.02470709,0.464935641,27.48873102
4,2.308366872,2.948720631,1.150184112,2,2.368622004,0.058933442,-6142.475155,1522.277371,3428,0.910975286,335,0.089024714,141,0.037470104,213,12,0.003188945,66,129,0.034281159,238,53,0.014084507,3157.555102,4014.704175,64.79187551,964.9922462,1029.784122,46.86004888,47.58097271,14.31789638,15.72016458,22.01603998,29.81784056,16.99125599,39.89549036,23.89986654,8.10922652,2.017788476,3.217929734,1458.956482,0.3057746,4.974186836,0.996798085,4.998952047,0.425599907,2488.740604,4465.968947,181,289.0841616,504.5454545,609.600166,40.30134431,4771.346221,376.0792625,179.4871392,0.477258804,1532.748979,77.52162459,0.050576856,6680.174463,112.095604,196.6235564,3004.093175,6035.959477,34.79436461,0.442999347,27.78644916
4,2.791373962,1.09E-16,0.703260999,5,2.932464815,0.293460735,-13055.14518,2655.570992,2838,0.75418549,925,0.24581451,805,0.21392506,813,6,0.001594472,14,106,0.028169014,855,8,0.002125963,3157.555102,10222.54492,39.07923555,285.8756037,324.9548393,222.7482762,222.7482762,12.22222548,12.22222548,15.78614895,15.94034821,7.537433333,243.1895129,9.807546388,6.413536589,2.034563982,4.235827633,1158.592776,0.3057746,0.351630509,2.791373968,0.396770256,0.408242698,1483.547616,4715.385225,1382,558.7757672,450,208.3536026,49.48398063,3789.041916,1549.32761,1318.309414,0.850891319,1532.748979,12.82323333,0.008366167,6871.118506,120.0659098,198.4185031,2299.832382,5020.199244,53.69833189,0.703936521,29.08370344
5,1.089468961,0,0.5,2,3.359525167,2.69E-15,-7030.273341,2206.232346,2905,0.771990433,858,0.228009567,707,0.187882009,748,16,0.004251927,59,94,0.024980069,910,41,0.010895562,3157.555102,4119.639032,59.92079258,187,246.9207926,52.50227643,54.34446157,5.257538812,5.257538812,8.711615044,9.201928457,3.253546683,57.29542952,5.567263508,5.461028015,2.02096648,3.12057582,1182.437751,0.3057746,0.25,1.051241975,0.323194755,0.40703537,1429.358544,4581.366909,1306,442.6770803,465.2542373,205.3367654,51.90457124,3867.024113,720.1279724,1208.723714,1.678484604,1532.748979,54.06424797,0.035272735,6119.901064,123.9057512,198.0703112,2288.060122,4874.103745,60.63269003,0.642980469,29.95911457
5,2.92433362,0,0.5,7,3.455132057,0.30138446,-17121.61374,2935.323768,2716,0.72176455,1047,0.27823545,941,0.250066436,947,5,0.001328727,11,95,0.025245815,898,6,0.001594472,3157.555102,14232.97631,32.1676693,236.75,268.9176693,284.1261302,284.1261302,14.77954204,14.77954204,17.87224817,17.98488839,9.213994564,361.3899316,11.20769051,7.322508547,2.039073244,4.971220777,1104.639735,0.3057746,0.25,2.924333572,0.282476543,0.406715661,1373.557404,4624.769601,1504,509.2769822,490.9090909,171.49413,42.77825798,3612.594815,1911.397743,1519.018295,0.794715961,1532.748979,8.648241578,0.005642308,7056.741537,99.35510208,197.9652818,2284.282754,5068.631976,48.07543049,0.732328071,28.75000427
6,1.307777855,5.76E-15,0.5,2,3.492149201,0.002276,-7031.691804,2221.598525,2906,0.772256179,857,0.227743821,717,0.190539463,747,15,0.003986181,46,95,0.025245815,906,30,0.007972362,3157.555102,4117.13901,56.25230792,186.75,243.0023079,67.41962595,68.91783986,5.261564939,5.261564939,8.867202779,9.227942,3.300791423,69.32130429,5.691467839,5.520742906,2.023359882,3.132603002,1190.501539,0.3057746,0.25,1.250051287,0.318900667,0.409670179,1433.503847,4591.898,1312,463.3863543,518.4782609,213.2420658,53.6659199,3893.395785,711.9311797,1190.741403,1.672551276,1532.748979,44.73809063,0.029188139,6138.075944,129.4822922,198.0725386,2286.944464,4863.93877,60.40944435,0.649626977,29.67839109
6,2.336902303,6.59E-15,0.672800978,7,3.312896441,0.308323735,-17058.46705,2885.145936,2754,0.731862875,1009,0.268137125,905,0.240499601,907,6,0.001594472,8,96,0.02551156,855,2,0.000531491,3157.555102,14224.7224,18.69521904,305.1152345,323.8104536,392.3574853,392.3574853,15.34686567,15.34686567,18.64313338,18.68397267,9.514530282,409.3603632,11.59925555,7.387010142,2.047862974,4.992111255,1117.454575,0.3057746,0.336400479,2.33690238,0.354666433,0.405756926,1441.265029,4698.822273,1402,502.1575907,450,191.8102881,45.55494342,3654.504251,1884.335732,1462.984168,0.77639252,1532.748979,7.66771814,0.005002592,7071.588962,108.6266416,198.100635,2309.155022,5164.107983,47.35994881,0.732310341,28.73278532
7,3.369257136,2.41E-12,0.581729334,7,3.25898265,0.247520403,-17100.64711,3008.07844,2743,0.728939676,1020,0.271060324,914,0.24289131,916,2,0.000531491,4,102,0.027106032,871,2,0.000531491,3157.555102,14223.00108,13.47702885,266.4320434,279.9090723,786.0195182,786.0195182,15.23642908,15.23642908,18.5876599,18.62815589,9.345594299,905.6568369,11.42437339,7.42887528,2.051267439,5.012734176,1111.995359,0.3057746,0.290864676,3.369257212,0.304911843,0.405393861,1391.904432,4624.012301,1478,502.1590918,562.5,182.297204,44.10579574,3636.650524,1878.692064,1493.38486,0.794906674,1532.748979,3.471599777,0.00226495,7048.091568,103.7015198,197.9648184,2293.628165,5172.242602,47.26129042,0.743419713,28.75961343
7,1.844132693,3.037210348,0.692307004,2,2.398860274,0.187968211,-6024.67935,1513.771214,3386,0.899813978,377,0.100186022,153,0.040659049,236,22,0.005846399,82,145,0.038533085,272,57,0.015147489,3157.555102,4019.687389,102.8829249,1049.680216,1152.56314,37.25209972,38.66673642,12.58477616,14.1428913,18.94553255,25.96844548,15.62282494,33.91317449,21.50287015,7.56848484,1.992937016,3.129432643,1447.499706,0.3057746,4.998477217,1.302315505,4.967944571,0.427495483,2600.062846,4548.548444,201,274.5079525,488.4146341,608.8788659,46.00418098,4733.878176,392.4176683,190.1069226,0.484450467,1532.748979,90.07331879,0.058765864,6659.044824,127.5934527,196.3994176,3001.160864,6012.052385,36.89381503,0.452202923,27.50456589
8,3.987747707,0,0.707920537,7,3.249170318,0.095665412,-17029.23247,3054.429405,2754,0.731862875,1009,0.268137125,896,0.238107893,897,5,0.001328727,6,107,0.02843476,847,1,0.000265745,3157.555102,14213.10622,23.92648602,317.5023673,341.4288533,522.271436,522.271436,15.49119716,15.49119716,18.85850772,18.87941515,9.590913807,637.0752869,11.71401314,7.526393834,2.044449977,5.039727175,1123.861429,0.3057746,0.353960276,3.987747669,0.378524228,0.408083308,1465.290283,4725.904008,1403,509.7130283,450,189.2021813,44.51506877,3675.457116,1846.249899,1448.830021,0.784742099,1532.748979,4.918772836,0.003209118,7054.455994,106.8266705,198.1406598,2326.550339,5276.953913,46.47532335,0.743631406,28.83854804
