,household_id,origin,destination,depart,home_zone_id,income,emp_15min
54,606206,1046.0,9400.0,13.0,1046,74715,771.5
55,606206,9400.0,9391.0,15.0,1046,74715,771.5
56,606206,9391.0,1046.0,16.0,1046,74715,771.5
57,636303,1046.0,948.0,11.0,1046,11700,771.5
58,636303,948.0,1046.0,12.0,1046,11700,771.5
59,643797,1046.0,9232.0,13.0,1046,32278,771.5
60,643797,9232.0,1046.0,14.0,1046,32278,771.5
61,643797,9428.0,1046.0,22.0,1046,32278,771.5
62,650467,1046.0,9428.0,8.0,1046,217959,771.5
63,650467,9428.0,9384.0,15.0,1046,217959,771.5
64,650467,9384.0,1046.0,17.0,1046,217959,771.5
65,697756,1046.0,9409.0,13.0,1046,21438,771.5
66,697756,9409.0,1046.0,13.0,1046,21438,771.5
67,710649,9357.0,1046.0,18.0,1046,35242,771.5
68,737565,1046.0,948.0,7.0,1046,51854,771.5
69,737565,948.0,1046.0,9.0,1046,51854,771.5
70,743621,9380.0,1046.0,20.0,1046,14405,771.5
71,743621,1046.0,1288.0,7.0,1046,14405,771.5
72,743621,1288.0,1046.0,9.0,1046,14405,771.5
73,778441,1046.0,948.0,5.0,1046,19100,771.5
74,778441,948.0,1046.0,6.0,1046,19100,771.5
75,778441,1046.0,9414.0,14.0,1046,19100,771.5
76,778441,9414.0,1046.0,16.0,1046,19100,771.5
77,833531,1046.0,9429.0,10.0,1046,59399,771.5
78,833531,9429.0,1046.0,11.0,1046,59399,771.5
79,838729,1046.0,9409.0,7.0,1046,26935,771.5
80,838729,9409.0,1046.0,19.0,1046,26935,771.5
81,840910,1046.0,9341.0,6.0,1046,85254,771.5
82,840910,9341.0,1046.0,14.0,1046,85254,771.5
83,840910,1046.0,9296.0,5.0,1046,85254,771.5
84,840910,1046.0,1293.0,8.0,1046,85254,771.5
85,840910,1293.0,1046.0,11.0,1046,85254,771.5
86,847693,1046.0,1293.0,10.0,1046,1776,771.5
87,847693,1293.0,1046.0,13.0,1046,1776,771.5
88,850901,1046.0,9409.0,12.0,1046,75967,771.5
89,850901,9409.0,1046.0,15.0,1046,75967,771.5
90,876005,1046.0,9414.0,17.0,1046,250678,771.5
91,876005,9414.0,1046.0,19.0,1046,250678,771.5
92,945536,9383.0,1046.0,17.0,1046,29839,771.5
93,987201,1046.0,1300.0,8.0,1046,94741,771.5
94,1012034,1046.0,1288.0,12.0,1046,50273,771.5
95,1017334,1046.0,9377.0,11.0,1046,107755,771.5
96,1017334,948.0,1046.0,20.0,1046,107755,771.5
97,1043953,1046.0,9414.0,21.0,1046,12407,771.5
98,1043953,9414.0,1046.0,21.0,1046,12407,771.5
99,1043953,1289.0,1046.0,17.0,1046,12407,771.5
100,1043953,1046.0,9350.0,9.0,1046,12407,771.5
101,1043953,9350.0,1046.0,9.0,1046,12407,771.5
102,1065145,1046.0,9347.0,7.0,1046,59960,771.5
103,1065145,9347.0,1046.0,17.0,1046,59960,771.5
104,29985,1295.0,9222.0,9.0,1295,54406,98.97037037037036
105,29985,9222.0,1295.0,17.0,1295,54406,98.97037037037036
106,29988,1295.0,9402.0,15.0,1295,12561,98.97037037037036
107,30009,1295.0,9319.0,7.0,1295,99963,98.97037037037036
108,30009,9319.0,1295.0,12.0,1295,99963,98.97037037037036
109,30016,1295.0,9402.0,12.0,1295,39778,98.97037037037036
110,30035,1295.0,1386.0,11.0,1295,32019,98.97037037037036
111,30035,1386.0,1295.0,18.0,1295,32019,98.97037037037036
112,30035,1295.0,9403.0,7.0,1295,32019,98.97037037037036
113,30035,9403.0,1295.0,7.0,1295,32019,98.97037037037036
114,30035,9322.0,1295.0,22.0,1295,32019,98.97037037037036
115,30042,1295.0,9302.0,7.0,1295,33015,98.97037037037036
116,30042,9302.0,1295.0,12.0,1295,33015,98.97037037037036
117,30042,1295.0,9246.0,15.0,1295,33015,98.97037037037036
118,30042,9246.0,1295.0,17.0,1295,33015,98.97037037037036
119,30042,9393.0,1295.0,12.0,1295,33015,98.97037037037036
120,30042,1295.0,9280.0,8.0,1295,33015,98.97037037037036
121,30042,9280.0,1295.0,10.0,1295,33015,98.97037037037036
122,30054,9402.0,1295.0,15.0,1295,32200,98.97037037037036
123,30061,9414.0,1295.0,18.0,1295,48678,98.97037037037036
124,30121,1295.0,9414.0,6.0,1295,18286,98.97037037037036
125,30121,9414.0,1295.0,6.0,1295,18286,98.97037037037036
126,30127,1295.0,9421.0,8.0,1295,96795,98.97037037037036
127,30127,9421.0,1295.0,9.0,1295,96795,98.97037037037036
128,30127,1295.0,9225.0,18.0,1295,96795,98.97037037037036
129,30127,9225.0,1295.0,18.0,1295,96795,98.97037037037036
130,30132,1295.0,9321.0,9.0,1295,42786,98.97037037037036
131,30137,1295.0,9402.0,14.0,1295,78816,98.97037037037036
132,30137,9402.0,1295.0,16.0,1295,78816,98.97037037037036
133,30161,1295.0,9271.0,21.0,1295,53679,98.97037037037036
134,30161,9271.0,1295.0,21.0,1295,53679,98.97037037037036
135,30161,1295.0,9381.0,18.0,1295,53679,98.97037037037036
136,30161,9381.0,1295.0,20.0,1295,53679,98.97037037037036
137,30164,1295.0,9400.0,10.0,1295,50457,98.97037037037036
138,30164,9400.0,1295.0,22.0,1295,50457,98.97037037037036
139,30193,1295.0,9352.0,8.0,1295,11365,98.97037037037036
140,30193,9352.0,1295.0,15.0,1295,11365,98.97037037037036
141,30193,1295.0,9446.0,9.0,1295,11365,98.97037037037036
142,30193,9446.0,1295.0,12.0,1295,11365,98.97037037037036
143,30193,1295.0,9383.0,14.0,1295,11365,98.97037037037036
144,30193,1295.0,9424.0,11.0,1295,11365,98.97037037037036
145,30193,9424.0,1295.0,14.0,1295,11365,98.97037037037036
146,30239,1295.0,9414.0,17.0,1295,67873,98.97037037037036
147,30239,9414.0,9414.0,17.0,1295,67873,98.97037037037036
148,30239,9414.0,1295.0,20.0,1295,67873,98.97037037037036
149,30239,9391.0,9414.0,13.0,1295,67873,98.97037037037036
150,30239,9414.0,1295.0,13.0,1295,67873,98.97037037037036
151,30239,1295.0,9359.0,9.0,1295,67873,98.97037037037036
152,30239,9359.0,1295.0,12.0,1295,67873,98.97037037037036
153,30252,1295.0,1290.0,8.0,1295,93627,98.97037037037036
154,30252,1290.0,1295.0,16.0,1295,93627,98.97037037037036
155,30264,1295.0,948.0,14.0,1295,83291,98.97037037037036
156,30267,1295.0,1293.0,18.0,1295,112048,98.97037037037036
157,30267,1293.0,1295.0,22.0,1295,112048,98.97037037037036
158,30288,9228.0,1295.0,17.0,1295,34827,98.97037037037036
159,30343,1295.0,9253.0,16.0,1295,35687,98.97037037037036
160,30343,9253.0,1295.0,16.0,1295,35687,98.97037037037036
161,30348,9414.0,1295.0,11.0,1295,27844,98.97037037037036
162,30376,1295.0,9285.0,8.0,1295,51901,98.97037037037036
163,30376,9285.0,1295.0,15.0,1295,51901,98.97037037037036
164,30376,1295.0,1292.0,10.0,1295,51901,98.97037037037036
165,30376,1292.0,1293.0,21.0,1295,51901,98.97037037037036
166,30376,1293.0,1295.0,21.0,1295,51901,98.97037037037036
167,30405,1295.0,1362.0,7.0,1295,46621,98.97037037037036
168,30455,9409.0,1295.0,18.0,1295,108528,98.97037037037036
169,30477,1295.0,1288.0,6.0,1295,112517,98.97037037037036
170,30477,1288.0,1295.0,6.0,1295,112517,98.97037037037036
171,30477,1295.0,9414.0,15.0,1295,112517,98.97037037037036
172,30477,9414.0,1295.0,20.0,1295,112517,98.97037037037036
173,30477,1292.0,1295.0,16.0,1295,112517,98.97037037037036
174,30478,1295.0,1293.0,12.0,1295,33649,98.97037037037036
175,30478,1293.0,1295.0,13.0,1295,33649,98.97037037037036
176,30478,1295.0,9395.0,18.0,1295,33649,98.97037037037036
177,30478,9395.0,1291.0,20.0,1295,33649,98.97037037037036
178,443604,1295.0,9410.0,13.0,1295,60424,98.97037037037036
