Id,Origin,Destination,Type,Vol
115,4080,42620,Veh,0.80313125
116,4080,42826,Veh,0.00162
117,4080,42928,Veh,0.00357425
118,4080,43348,Veh,29.02644375
119,4080,43404,Veh,17.6831015
120,4080,43405,Veh,0.16766725
121,4080,43407,Veh,0.02374375
122,4080,43500,Veh,13.2489845
123,4080,43503,Veh,0.3247345
124,4080,43511,Veh,46.0308635
125,4080,43513,Veh,0.02299675
126,4080,51251,Veh,0.14317825
127,4080,51271,Veh,5.09808225
128,4080,52220,Veh,0.4096375
129,4080,52238,Veh,41.71102025
130,4080,52733,Veh,10.1386325
131,4080,65137,Veh,11.51702825
132,4080,119417,Veh,29.16668925
133,4080,119547,Veh,2.431893
134,4080,119548,Veh,113.7716315
135,4080,126254,Veh,6.7722145
136,4080,126288,Veh,42.69802975
137,4080,126823,Veh,38.8088995
138,4080,126857,Veh,0.13458
139,4080,127093,Veh,0.01576275
140,4080,127217,Veh,3.89524025
141,4080,127589,Veh,9.29562675
142,4080,127644,Veh,0.01251275
143,4080,128009,Veh,0.01192875
144,4080,128022,Veh,0.01481275
145,4080,128299,Veh,0.582965
146,4080,128395,Veh,0.00017625
147,4080,128768,Veh,0.00045425
148,4080,128917,Veh,0.00022375
149,4080,129085,Veh,0.001669
150,4080,129233,Veh,0.0003975
151,4080,140472,Veh,5.8783895
152,4080,149939,Veh,22.78851825
153,4080,150019,Veh,0.0007815
154,4080,150026,Veh,0.0001045
155,4080,150027,Veh,0.0006815
156,4080,150033,Veh,0.00152
157,4080,151976,Veh,0.00040675
158,4100,4032,Veh,3.91906775
159,4100,4080,Veh,8.895
160,4100,4101,Veh,12.2
161,4100,4102,Veh,20.905
162,4100,4103,Veh,0.64
163,4100,4104,Veh,8.015
164,4100,4105,Veh,5.06954525
165,4100,4106,Veh,1.81
166,4100,4107,Veh,3.115
167,4100,4108,Veh,3.24464825
168,4100,4165,Veh,6.08934025
169,4100,4166,Veh,0.764917
170,4100,4167,Veh,1.40461325
171,4100,4168,Veh,1.584858
172,4100,4186,Veh,0.99980175
173,4100,4187,Veh,0.1949825
174,4100,4188,Veh,1.155
175,4100,4189,Veh,0.8749215
176,4100,4190,Veh,1.14
177,4100,4191,Veh,0.8749215
178,4100,4192,Veh,3.445
179,4100,4919,Veh,3.4
180,4100,4920,Veh,5.2
181,4100,4926,Veh,0.7940085
182,4100,4928,Veh,0.5697575
183,4100,4929,Veh,0.87462775
184,4100,4947,Veh,2.43936875
185,4100,4949,Veh,2.34463225
186,4100,4950,Veh,1.64
187,4100,4951,Veh,1.3187315
188,4100,4952,Veh,0.73928875
189,4100,4954,Veh,0.875
190,4100,4955,Veh,1.34232625
191,4100,4956,Veh,2.82
192,4100,4957,Veh,0.8349095
193,4100,4979,Veh,0.27950225
194,4100,4980,Veh,0.0884995
195,4100,42618,Veh,0.33252425
196,4100,42620,Veh,1.11156225
197,4100,42826,Veh,0.00314325
198,4100,42928,Veh,0.39546925
199,4100,43348,Veh,8.55803075
200,4100,43404,Veh,3.4453235
201,4100,43405,Veh,14.3562285
202,4100,43407,Veh,6.168717
203,4100,43500,Veh,7.58268225
204,4100,43503,Veh,0.05065625
205,4100,43511,Veh,5.7206205
206,4100,43513,Veh,11.17014375
207,4100,51251,Veh,12.197774
208,4100,51271,Veh,12.89965825
209,4100,52220,Veh,6.27031375
210,4100,52238,Veh,0.102328
211,4100,52733,Veh,7.61919725
212,4100,65137,Veh,5.195851
213,4100,118515,Veh,0.01408725
214,4100,119417,Veh,9.32764375
215,4100,119547,Veh,2.1466535
216,4100,119548,Veh,12.05707925
217,4100,126254,Veh,10.78627675
218,4100,126288,Veh,4.5222005
219,4100,126823,Veh,0.0415075
220,4100,126857,Veh,33.1273855
221,4100,127093,Veh,0.0491685
222,4100,127217,Veh,12.32385
223,4100,127589,Veh,2.01705075
224,4100,127644,Veh,0.001504
225,4100,128009,Veh,0.00751575
226,4100,128022,Veh,0.007756
227,4100,128299,Veh,0.17393375
228,4100,128395,Veh,0.0002415
229,4100,128768,Veh,0.0011815
230,4100,128917,Veh,0.00006725
231,4100,129233,Veh,2.021951
232,4100,129456,Veh,0.00727575
233,4100,140472,Veh,0.06749975
234,4100,149939,Veh,154.0076273
235,4100,150019,Veh,0.0007815
236,4100,150026,Veh,0.0001395
237,4100,150027,Veh,0.001044
238,4100,150033,Veh,0.000631
239,4100,152075,Veh,0.00122
240,4101,4032,Veh,9.0501665
241,4101,4080,Veh,13.899105
242,4101,4100,Veh,14.2148655
243,4101,4102,Veh,10.59156575
244,4101,4103,Veh,1.049555
245,4101,4104,Veh,3.838372
246,4101,4105,Veh,5.42221425
247,4101,4106,Veh,1.883886
248,4101,4107,Veh,5.06784975
249,4101,4108,Veh,3.017871
250,4101,4165,Veh,5.42117475
251,4101,4166,Veh,0.569598
252,4101,4167,Veh,1.90333875
253,4101,4168,Veh,0.69444775
254,4101,4186,Veh,1.013956
255,4101,4187,Veh,1.2490065
256,4101,4188,Veh,1.319069
257,4101,4189,Veh,1.6287045
258,4101,4190,Veh,1.26410825
259,4101,4191,Veh,0.94424875
260,4101,4192,Veh,2.41829375
261,4101,4919,Veh,2.1129255
262,4101,4920,Veh,7.44880875
263,4101,4926,Veh,1.3543715
264,4101,4928,Veh,0.436817
