,household_id,origin,destination,depart,home_zone_id,income,emp_15min
43946,1013441,2812,2466,21,2466,4698,28689.3381
43947,1013776,2518,2466,21,2466,147294,28689.3381
43948,1015387,2466,2373,6,2466,137224,28689.3381
43949,1015387,2373,2466,15,2466,137224,28689.3381
43950,1015387,2466,2373,17,2466,137224,28689.3381
43951,1015387,2373,2466,20,2466,137224,28689.3381
43952,1016276,2466,2584,5,2466,108713,28689.3381
43953,1016276,2584,2466,5,2466,108713,28689.3381
43954,1016276,2466,2565,14,2466,108713,28689.3381
43955,1016276,2565,2651,17,2466,108713,28689.3381
43956,1016276,2651,2466,17,2466,108713,28689.3381
43957,1016282,2466,2766,12,2466,92568,28689.3381
43958,1016282,2766,2466,15,2466,92568,28689.3381
43959,1016282,2466,2568,8,2466,92568,28689.3381
43960,1016282,2593,2466,21,2466,92568,28689.3381
43961,1016474,2466,2584,17,2466,24199,28689.3381
43962,1016474,2584,2466,20,2466,24199,28689.3381
43963,1017698,2466,2613,6,2466,177503,28689.3381
43964,1017698,2613,2466,16,2466,177503,28689.3381
43965,1017698,2466,2525,18,2466,177503,28689.3381
43966,1017698,2525,2466,19,2466,177503,28689.3381
43967,1017698,2466,2704,18,2466,177503,28689.3381
43968,1017698,2466,2568,7,2466,177503,28689.3381
43969,1017919,2466,2639,15,2466,11873,28689.3381
43970,1017919,2639,2466,17,2466,11873,28689.3381
43971,1017919,2651,2466,14,2466,11873,28689.3381
43972,1018327,2466,2623,9,2466,31601,28689.3381
43973,1018327,2623,2466,13,2466,31601,28689.3381
43974,1018327,2466,2766,18,2466,31601,28689.3381
43975,1018327,2766,2466,20,2466,31601,28689.3381
43976,1018685,2466,2539,9,2466,29186,28689.3381
43977,1018685,2539,2466,10,2466,29186,28689.3381
43978,1022719,2466,2611,14,2466,3275,28689.3381
43979,1022719,2611,2623,14,2466,3275,28689.3381
43980,1022719,2623,2466,18,2466,3275,28689.3381
43981,1026131,2466,2586,6,2466,9324,28689.3381
43982,1026131,2466,2525,10,2466,9324,28689.3381
43983,1026131,2466,2704,10,2466,9324,28689.3381
43984,1027987,2466,2705,16,2466,19123,28689.3381
43985,1027987,2705,2466,18,2466,19123,28689.3381
43986,1028109,2541,2466,22,2466,6031,28689.3381
43987,1028599,2466,2476,10,2466,314896,28689.3381
43988,1028599,2476,2466,10,2466,314896,28689.3381
43989,1031306,2586,2466,21,2466,10587,28689.3381
43990,1032080,2466,2541,9,2466,31957,28689.3381
43991,1032080,2541,2611,16,2466,31957,28689.3381
43992,1032080,2611,2466,16,2466,31957,28689.3381
43993,1032080,2466,2553,8,2466,31957,28689.3381
43994,1032080,2553,2466,16,2466,31957,28689.3381
43995,1032080,2466,2610,17,2466,31957,28689.3381
43996,1032080,2610,2466,17,2466,31957,28689.3381
43997,1032080,2466,2495,8,2466,31957,28689.3381
43998,1033084,2461,2466,18,2466,138735,28689.3381
43999,1033084,2466,2703,7,2466,138735,28689.3381
44000,1033084,2703,2466,14,2466,138735,28689.3381
44001,1033084,2466,2626,7,2466,138735,28689.3381
44002,1033084,2626,2466,19,2466,138735,28689.3381
44003,1034541,2466,2766,7,2466,11444,28689.3381
44004,1034541,2766,2466,7,2466,11444,28689.3381
44005,1034541,2593,2466,15,2466,11444,28689.3381
44006,1034635,2582,2565,5,2466,207091,28689.3381
44007,1034635,2565,2492,5,2466,207091,28689.3381
44008,1034635,2492,2466,5,2466,207091,28689.3381
44009,1038740,2466,2586,10,2466,39002,28689.3381
44010,1038740,2586,2466,10,2466,39002,28689.3381
44011,1039702,2466,2586,9,2466,4901,28689.3381
44012,1039702,2586,2617,10,2466,4901,28689.3381
44013,1039702,2617,2466,20,2466,4901,28689.3381
44014,1041520,2466,2466,10,2466,130154,28689.3381
44015,1041520,2740,2525,11,2466,130154,28689.3381
44016,1041520,2525,2466,11,2466,130154,28689.3381
44017,1041520,2586,2843,17,2466,130154,28689.3381
44018,1041520,2843,2577,17,2466,130154,28689.3381
44019,1041520,2577,2466,17,2466,130154,28689.3381
44020,1042106,2466,2702,7,2466,86161,28689.3381
44021,1042106,2702,2466,15,2466,86161,28689.3381
44022,1042393,2466,2525,18,2466,106931,28689.3381
44023,1042393,2525,2466,21,2466,106931,28689.3381
44024,1042393,2466,2565,8,2466,106931,28689.3381
44025,1042393,2731,2466,19,2466,106931,28689.3381
44026,1042715,2466,2553,7,2466,101270,28689.3381
44027,1042715,2553,2586,15,2466,101270,28689.3381
44028,1042715,2586,2466,16,2466,101270,28689.3381
44029,1042715,2466,2569,7,2466,101270,28689.3381
44030,1042715,2569,2466,14,2466,101270,28689.3381
44031,1042715,2466,2593,8,2466,101270,28689.3381
44032,1042715,2635,2466,18,2466,101270,28689.3381
44033,1043330,2466,2496,5,2466,133815,28689.3381
44034,1043696,2466,2659,12,2466,85312,28689.3381
44035,1043696,2659,2466,13,2466,85312,28689.3381
44036,1043696,2466,2708,15,2466,85312,28689.3381
44037,1043696,2708,2466,21,2466,85312,28689.3381
44038,1043696,2466,2525,15,2466,85312,28689.3381
44039,1043696,2466,2705,6,2466,85312,28689.3381
44040,1043696,2705,2466,18,2466,85312,28689.3381
44041,1044907,2466,2651,8,2466,11436,28689.3381
44042,1044907,2651,2466,10,2466,11436,28689.3381
44043,1045487,2466,2718,9,2466,42646,28689.3381
44044,1045487,2718,2466,17,2466,42646,28689.3381
44045,1045487,2586,2466,14,2466,42646,28689.3381
44046,1045487,2466,2484,10,2466,42646,28689.3381
44047,1045487,2484,2466,12,2466,42646,28689.3381
44048,1045910,2466,2518,7,2466,136846,28689.3381
44049,1045910,2518,2466,15,2466,136846,28689.3381
44050,1045910,2466,2491,8,2466,136846,28689.3381
44051,1045910,2491,2466,17,2466,136846,28689.3381
44052,1045910,2466,2768,8,2466,136846,28689.3381
44053,1045910,2768,2466,14,2466,136846,28689.3381
44054,1045910,2466,2768,16,2466,136846,28689.3381
44055,1045910,2768,2466,18,2466,136846,28689.3381
44056,1050171,2466,2607,8,2466,107035,28689.3381
44057,1050171,2607,2466,15,2466,107035,28689.3381
44058,1050171,2466,2704,17,2466,107035,28689.3381
44059,1050171,2704,2760,23,2466,107035,28689.3381
44060,1050171,2760,2466,23,2466,107035,28689.3381
44061,1050171,2466,2664,7,2466,107035,28689.3381
44062,1050171,2664,2466,15,2466,107035,28689.3381
44063,1050171,2586,2466,10,2466,107035,28689.3381
44064,1053022,2466,2649,15,2466,206281,28689.3381
44065,1053022,2649,2466,15,2466,206281,28689.3381
44066,1053022,2466,2420,8,2466,206281,28689.3381
44067,1053022,2466,2565,13,2466,206281,28689.3381
44068,1053022,2565,2835,13,2466,206281,28689.3381
44069,1053022,2835,2541,13,2466,206281,28689.3381
44070,1053022,2541,2466,13,2466,206281,28689.3381
44071,1055629,2466,2711,7,2466,51404,28689.3381
44072,1055629,2711,2466,15,2466,51404,28689.3381
44073,1055629,2466,2493,8,2466,51404,28689.3381
44074,1055629,2493,2466,18,2466,51404,28689.3381
44075,1057074,2466,2559,7,2466,101532,28689.3381
44076,1057074,2559,2466,13,2466,101532,28689.3381
44077,1057074,2466,2491,8,2466,101532,28689.3381
44078,1057074,2491,2466,13,2466,101532,28689.3381
44079,1057074,2466,2737,18,2466,101532,28689.3381
44080,1057074,2737,2490,19,2466,101532,28689.3381
44081,1057074,2490,2466,21,2466,101532,28689.3381
44082,1057074,2466,2468,8,2466,101532,28689.3381
44083,1057074,2466,2664,6,2466,101532,28689.3381
44084,1057074,2664,2466,13,2466,101532,28689.3381
44085,1058217,2735,2466,16,2466,34624,28689.3381
44086,1058217,2466,2703,16,2466,34624,28689.3381
44087,1058217,2703,2466,17,2466,34624,28689.3381
44088,1058217,2466,2773,17,2466,34624,28689.3381
44089,1058217,2666,2466,13,2466,34624,28689.3381
44090,1058615,2466,2490,19,2466,49846,28689.3381
44091,1058615,2490,2466,19,2466,49846,28689.3381
44092,1058615,2466,2530,7,2466,49846,28689.3381
44093,1058615,2530,2466,15,2466,49846,28689.3381
44094,1060742,2565,2466,8,2466,46500,28689.3381
44095,1060742,2466,2739,13,2466,46500,28689.3381
44096,1060742,2739,2466,21,2466,46500,28689.3381
44097,1063310,2554,2466,12,2466,91729,28689.3381
44098,1064805,2466,2565,17,2466,723,28689.3381
44099,1064805,2565,2466,18,2466,723,28689.3381
44100,1064805,2466,2525,18,2466,723,28689.3381
44101,1064805,2525,2466,18,2466,723,28689.3381
44102,1065438,2466,2799,9,2466,25457,28689.3381
44103,1065438,2593,2466,10,2466,25457,28689.3381
44104,1065438,2466,2717,12,2466,25457,28689.3381
44105,1065438,2717,2586,15,2466,25457,28689.3381
44106,1065438,2586,2466,15,2466,25457,28689.3381
44107,1067872,2466,2692,6,2466,49961,28689.3381
44108,1067872,2692,2466,20,2466,49961,28689.3381
44109,1069663,2466,2740,5,2466,10934,28689.3381
44110,1075844,2466,2696,7,2466,256130,28689.3381
44111,1075844,2696,2466,13,2466,256130,28689.3381
44112,1075844,2466,2696,14,2466,256130,28689.3381
44113,1075844,2696,2681,18,2466,256130,28689.3381
44114,1075844,2681,2466,19,2466,256130,28689.3381
44115,1079599,2466,2766,8,2466,35025,28689.3381
44116,1079599,2766,2466,15,2466,35025,28689.3381
44117,1079985,2466,2740,15,2466,14925,28689.3381
44118,1079985,2740,2586,16,2466,14925,28689.3381
44119,1079985,2586,2740,16,2466,14925,28689.3381
44120,1079985,2466,2717,7,2466,14925,28689.3381
44121,1079985,2717,2466,16,2466,14925,28689.3381
44122,1081619,2466,2525,16,2466,87067,28689.3381
44123,1081619,2525,2466,17,2466,87067,28689.3381
44124,1082791,2586,2466,14,2466,9309,28689.3381
44125,1083258,2544,2466,14,2466,72292,28689.3381
44126,1083258,2466,2541,8,2466,72292,28689.3381
44127,1083258,2541,2717,9,2466,72292,28689.3381
44128,1083258,2717,2490,15,2466,72292,28689.3381
44129,1083258,2490,2466,16,2466,72292,28689.3381
44130,1083258,2466,2772,17,2466,72292,28689.3381
44131,1083258,2772,2466,17,2466,72292,28689.3381
44132,1083258,2466,2555,17,2466,72292,28689.3381
44133,1083258,2555,2466,17,2466,72292,28689.3381
44134,1083258,2584,2466,16,2466,72292,28689.3381
44135,1083258,2466,2586,9,2466,72292,28689.3381
44136,1083588,2466,2586,16,2466,3659,28689.3381
44137,1083802,2466,2748,8,2466,7883,28689.3381
44138,1083802,2748,2827,8,2466,7883,28689.3381
44139,1083802,2827,2593,17,2466,7883,28689.3381
44140,1083802,2593,2592,17,2466,7883,28689.3381
44141,1083802,2592,2466,17,2466,7883,28689.3381
44142,1083908,2466,2530,12,2466,21169,28689.3381
44143,1084084,2466,2766,17,2466,24565,28689.3381
44144,1084084,2766,2466,17,2466,24565,28689.3381
44145,1086377,2466,2489,7,2466,18802,28689.3381
