,trip_id,person_id,household_id,primary_purpose,trip_num,outbound,trip_count,destination,origin,tour_id,purpose,destination_logsum,depart,trip_mode,mode_choice_logsum,atap,btap,path_set
11857,1232285,3756,1440,work,1,False,2,97288,97269,154035,social,18.29940060019933,18.0,SHARED3FREE,1.865067881969361,,,
11880,1234253,3762,1442,work,1,False,1,99048,96055,154281,home,,18.0,SHARED3FREE,1.1093441022824286,,,
11913,1237142,3771,1446,school,2,False,2,92037,98802,154642,home,,15.0,SHARED3FREE,2.117841072676498,,,
12088,1256165,3829,1470,school,1,False,1,98543,93235,157020,home,,11.0,SHARED3FREE,1.0782130339777598,,,
12103,1257627,3834,1471,escort,3,True,3,95672,96394,157203,escort,,9.0,SHARED3FREE,0.4495833621528403,,,
12186,1265830,3859,1480,escort,2,False,2,95741,97412,158228,home,,20.0,SHARED3FREE,0.8618381964861769,,,
12200,1267379,3863,1482,work,3,True,3,98136,94943,158422,work,,14.0,SHARED3FREE,2.18835969256188,,,
12296,1281025,3905,1496,atwork,1,True,1,151877,98098,160128,atwork,,14.0,SHARED3FREE,2.180662305580908,,,
12297,1281029,3905,1496,atwork,1,False,1,95058,95004,160128,work,,14.0,SHARED3FREE,2.2124897783497386,,,
12327,1284106,3914,1499,work,2,True,2,98119,95274,160513,work,,9.0,SHARED3FREE,-0.2919523061650204,,,
12385,1290426,3934,1506,escort,2,True,3,98095,96761,161303,escort,14.824113475737034,14.0,SHARED3FREE,0.3835508721188808,,,
12438,1294933,3947,1513,work,1,False,1,96180,98113,161866,home,,15.0,SHARED3FREE,1.6683618792779185,,,
12897,1338277,4080,1566,atwork,1,False,1,96759,94911,167284,work,,13.0,SHARED3FREE,2.0054700919699657,,,
12942,1343474,4095,1572,work,2,True,2,97144,96634,167934,work,,8.0,SHARED3FREE,1.1665859933860705,,,
13177,1365541,4163,1596,escort,1,False,1,95439,96060,170692,home,,13.0,SHARED3FREE,-0.0041998146411946,,,
13220,1369717,4175,1603,work,1,False,1,97290,96026,171214,home,,16.0,SHARED3FREE,1.161024211382762,,,
13293,1379493,4205,1616,school,1,False,1,181957,99335,172436,home,,14.0,SHARED3FREE,0.9947146791938196,,,
13308,1381530,4211,1617,work,2,True,2,99335,97629,172691,work,,16.0,SHARED3FREE,1.5178886040228383,,,
13773,1429085,4356,1677,work,1,False,1,97141,97386,178635,home,,17.0,SHARED3FREE,1.294983860535029,,,
13809,1434125,4372,1683,eatout,1,False,1,99046,95649,179265,home,,8.0,SHARED3FREE,0.4211241312748474,,,
14107,1464317,4464,1716,othdiscr,1,False,1,96170,96862,183039,home,,16.0,SHARED3FREE,-0.2615185025787259,,,
14137,1468771,4477,1720,work,3,True,3,97596,96638,183596,work,,11.0,SHARED3FREE,-0.2873603913591991,,,
14204,1474437,4495,1728,escort,1,False,1,94655,96183,184304,home,,7.0,SHARED3FREE,-0.3737574932806043,,,
14488,1501181,4576,1759,school,1,False,1,96631,99239,187647,home,,17.0,SHARED3FREE,2.099679742876828,,,
14529,1505837,4590,1765,work,1,False,1,96654,97565,188229,home,,16.0,SHARED3FREE,1.264045826846801,,,
14719,1524533,4647,1792,work,1,False,1,98312,98218,190566,home,,20.0,SHARED3FREE,0.4450004867983809,,,
14750,1527488,4656,1796,work,4,False,4,95654,97861,190935,home,,18.0,SHARED3FREE,-0.6293708730923838,,,
14949,1547882,4719,1821,eatout,2,True,2,98302,96886,193485,eatout,,19.0,SHARED3FREE,0.0901318771185983,,,
15069,1561533,4760,1837,school,1,False,1,95252,95007,195191,home,,15.0,SHARED3FREE,1.0551558305404918,,,
15200,1573997,4798,1854,school,1,False,1,96861,96174,196749,home,,13.0,SHARED3FREE,1.0714258043763345,,,
15368,1590394,4848,1874,school,2,True,2,97853,95672,198799,school,,7.0,SHARED3FREE,-2.0815859525855105,,,
15739,1628333,4964,1924,othmaint,1,False,2,96038,98354,203541,eatout,17.531797860248837,13.0,SHARED3FREE,0.6882967327545593,,,
16030,1656653,5050,1963,school,1,False,1,97526,95015,207081,home,,18.0,SHARED3FREE,1.1417004990516773,,,
16303,1687637,5145,2000,escort,1,False,1,98539,94185,210954,home,,14.0,SHARED3FREE,1.8380378326369275,,,
16355,1691701,5157,2004,othdiscr,1,False,1,95193,97437,211462,home,,13.0,SHARED3FREE,2.4561749096552754,,,
16466,1701741,5188,2018,escort,1,False,1,95433,95066,212717,home,,15.0,SHARED3FREE,0.5806330352814654,,,
16502,1705917,5200,2023,work,1,False,1,93736,98325,213239,home,,17.0,SHARED3FREE,1.2071706571257186,,,
16503,1705961,5201,2023,atwork,1,True,1,96179,91896,213245,atwork,,12.0,SHARED3FREE,2.996252631128488,,,
16708,1726341,5263,2049,escort,1,False,1,98544,95650,215792,home,,8.0,SHARED3FREE,0.7998496851199286,,,
