FID,TAZ,SUBRAD,RAD,RADNUM,SUBAREAS,PUMA,Shape_STAr,Shape_STLe
1363,1175,153,East Sacramento,14,2,Sac_6,3360429.8252,7967.33712514
1364,511,162,South Sacramento,19,3,Sac_8,13514843.1973,15919.9400761
1365,918,200,Delta,28,4,Sac_9,279406414.475,84138.2435758
1366,565,125,Rancho Cordova West,16,8,Sac_9,130456593.291,59051.5720889
1367,54,502,West Sacramento,50,23,Yolo,18036137.7568,19812.5366432
1368,108,523,Davis,52,21,Yolo,6048598.65137,12873.9340216
1369,512,162,South Sacramento,19,7,Sac_8,14507303.7773,16287.6912395
1370,832,200,Delta,28,4,Sac_9,376071050.401,97217.6205257
1371,878,94,Arden Arcade,11,2,Sac_5,8205310.8291,14512.0250209
1372,520,152,East Sacramento,14,2,Sac_6,8030296.14063,11752.2569596
1373,557,171,Vineyard,20,8,Sac_9,21526133.6055,18936.4613254
1374,335,94,Arden Arcade,11,2,Sac_5,13724140.541,17312.3657574
1375,1509,125,Rosemont,15,8,Sac_9,8737252.51172,15671.2450079
1376,834,200,Delta,28,4,Sac_9,1613298245.57,258525.469552
1377,336,94,Arden Arcade,11,9,Sac_5,8808052.44434,13202.8448967
1378,1121,127,Rancho Cordova East,17,8,Sac_3,21147455.7197,19796.493516
1379,1217,127,Rancho Cordova East,17,8,Sac_3,21310170.3232,21148.5524637
1380,896,162,South Sacramento,19,3,Sac_8,14315198.4971,17038.6667595
1381,777,137,Downtown,1,2,Sac_4,5266208.58203,10710.7205197
1382,597,151,Rosemont,15,8,Sac_9,18595227.2725,18268.2203529
1383,833,200,Delta,28,4,Sac_9,47888605.2412,35269.8578523
1384,334,94,Arden Arcade,11,2,Sac_6,15162681.0361,15171.9089776
1385,596,151,Rosemont,15,8,Sac_9,15837952.8281,16488.1732581
1386,26,970,Gateway,97,0, ,13629677.8994,16067.9191374
1387,772,135,Downtown,1,2,Sac_4,2060480.28027,5783.33183476
1388,61,504,West Sacramento,50,23,Yolo,33721874.5273,24549.8106993
1389,689,142,Land Park-Pocket-Meadowview,18,3,Sac_7,14950212.8281,16612.8078855
1390,1180,152,East Sacramento,14,2,Sac_6,5950885.23047,10464.4070853
1391,56,502,West Sacramento,50,23,Yolo,20776342.2266,24974.6737611
1392,25,970,Gateway,97,0, ,10550282.7773,12934.0208711
1393,500,162,South Sacramento,19,3,Sac_8,5907613.22363,10357.49314
1394,906,121,Rosemont,15,8,Sac_5,4785615.17969,9921.0460833
